"Name","Gender","Religion","Cast","Country"
"Murlidhar","Male","hindu","","India"
"Murlimanohar","Male","hindu","","India"
"Nandgopala","Male","hindu","","India"
"Narayana","Male","hindu","","India"
"Padmanabha","Male","hindu","","India"
"Parabrahmana","Male","hindu","","India"
"Paramatma","Male","hindu","","India"
"Parampurush","Male","hindu","","India"
"Parthasarthi","Male","hindu","","India"
"Prajapati","Male","hindu","","India"
"Purshottam","Male","hindu","","India"
"Ravilochana","Male","hindu","","India"
"Sahasraakash","Male","hindu","","India"
"Sakshi","Male","hindu","","India"
"Sanatana","Male","hindu","","India"
"Shubhaprada","Female","hindu","","India"
"Shuchi","Female","hindu","","India"
"Shuklamalambara","Female","hindu","","India"
"Sudha","Female","hindu","","India"
"Suprasanna","Female","hindu","","India"
"Trikala","Female","hindu","","India"
"Udaranga","Female","hindu","","India"
"Vachi","Female","hindu","","India"
"Varalakshmi","Female","hindu","","India"
"Vararoha","Female","hindu","","India"
"Vasundhara","Female","hindu","","India"
"Vibha","Female","hindu","","India"
"Vibhuti","Female","hindu","","India"
"Vidya","Female","hindu","","India"
"Vikruti","Female","hindu","","India"
"Vishnupatni","Female","hindu","","India"
"Vishnuvakshah","Female","hindu","","India"
"Vishwajanani","Female","hindu","","India"
"Yashaswini","Female","hindu","","India"
"Aabrahma Keeda Janani","Female","hindu","","India"
"Aagna","Female","hindu","","India"
"Aarakthavarni","Female","hindu","","India"
"Aashobhana","Female","hindu","","India"
"Abala Gopa Vidhitha","Female","hindu","","India"
"Abhyasathisaya Gnatha","Female","hindu","","India"
"Akhuratha","Male","hindu","","India"
"Alampata","Male","hindu","","India"
"Amit","Male","hindu","","India"
"Anantachidrupamayam","Male","hindu","","India"
"Avaneesh","Male","hindu","","India"
"Avighna","Male","hindu","","India"
"Balaganapati","Male","hindu","","India"
"Bhalchandra","Male","hindu","","India"
"Bheema","Male","hindu","","India"
"Bhuvanpati","Male","hindu","","India"
"Buddhinath","Male","hindu","","India"
"Buddhipriya","Male","hindu","","India"
"Buddhividhata","Male","hindu","","India"
"Chaturbhuj","Male","hindu","","India"
"Devantakanashakarin","Male","hindu","","India"
"Devavrata","Male","hindu","","India"
"Devendrashika","Male","hindu","","India"
"Dharmik","Male","hindu","","India"
"Dhoomravarna","Male","hindu","","India"
"Durja","Male","hindu","","India"
"Dvaimatura","Male","hindu","","India"
"Ekaakshara","Male","hindu","","India"
"Ekadanta","Male","hindu","","India"
"Ekadrishta","Male","hindu","","India"
"Eshanputra","Male","hindu","","India"
"Kamadhukh","Female","hindu","","India"
"Kamakala Roopa","Female","hindu","","India"
"Kamakshi","Female","hindu","","India"
"Kamalaksha Nishevitha","Female","hindu","","India"
"Kamesha Baddha Mangalya Sutra Shobitha Kandhara","Female","hindu","","India"
"Kamesha Gnatha Sowbhagya Mardworu Dwayanvitha","Female","hindu","","India"
"Kameshwara Mukaloka Kalpitha Sri Ganeshwara","Female","hindu","","India"
"Kameshwara Prana Nadi","Female","hindu","","India"
"Kameshwarasthra Nirdhagdha Sabandasura Sunyaka","Female","hindu","","India"
"Kameswara Prema Rathna Mani Prathi Pana Sthani","Female","hindu","","India"
"Kanath Kanaka Thadanga","Female","hindu","","India"
"Kankangadha Keyura Kamaniya Bujanvidha","Female","hindu","","India"
"Kantatha Kadi Paryantha Madhya Koodaiga Swaroopini","Female","hindu","","India"
"Kanthatha Vigraha","Female","hindu","","India"
"Kanthi","Female","hindu","","India"
"Kanthi Mathi","Female","hindu","","India"
"Kapardhini","Female","hindu","","India"
"Karanguli Nakhothpanna Narayana Dasakrithi","Female","hindu","","India"
"Karpoora Veedi Kamodha Samakarsha Digandara","Female","hindu","","India"
"Karuna Rasa Sagara","Female","hindu","","India"
"Karya Karana Nirmuktha","Female","hindu","","India"
"Kashta","Female","hindu","","India"
"Kataksha Kimkari Bhootha Kamala Koti Sevitha","Female","hindu","","India"
"Kathyayini","Female","hindu","","India"
"Kaula Marga That Para Sevitha","Female","hindu","","India"
"Bali","Male","hindu","","India"
"Danavendra","Male","hindu","","India"
"Dayalu Krsna","Male","hindu","","India"
"Dayanidhi","Male","hindu","","India"
"Devadidev","Male","hindu","","India"
"Devakinandan","Male","hindu","","India"
"Devesh","Male","hindu","","India"
"Dharmadhyaksha","Male","hindu","","India"
"Dwarkapati","Male","hindu","","India"
"Gopal","Male","hindu","","India"
"Gopalpriya","Male","hindu","","India"
"Govinda","Male","hindu","","India"
"Gyaneshwar","Male","hindu","","India"
"Hiranyagarbha","Male","hindu","","India"
"Hrishikesh","Male","hindu","","India"
"Jagadisha","Male","hindu","","India"
"Jagannath","Male","hindu","","India"
"Janardhana","Male","hindu","","India"
"Jyotiraaditya","Male","hindu","","India"
"Kamalnath","Male","hindu","","India"
"Kamalnayan","Male","hindu","","India"
"Kamsantak","Male","hindu","","India"
"Kanjalochana","Male","hindu","","India"
"Keshava","Male","hindu","","India"
"Lakshmikantam","Male","hindu","","India"
"Kula Kundalaya","Female","hindu","","India"
"Kula Roopini","Female","hindu","","India"
"Kula Sanketha Palini","Female","hindu","","India"
"Kula Yogini","Female","hindu","","India"
"Kulamruthaika Rasika","Female","hindu","","India"
"Kulangana","Female","hindu","","India"
"Kulanthastha","Female","hindu","","India"
"Kuleshwari","Female","hindu","","India"
"Kulotheerna","Female","hindu","","India"
"Kumara Gana Nadambha","Female","hindu","","India"
"Kundalini","Female","hindu","","India"
"Kuru Kulla","Female","hindu","","India"
"Kuru Vinda Mani","Female","hindu","","India"
"Kusala","Female","hindu","","India"
"Lajja","Female","hindu","","India"
"Lakinyambha Swaroopini","Female","hindu","","India"
"Lakshya Roma Latha Dharatha Samunneya Madhyama","Female","hindu","","India"
"Lalithambika","Female","hindu","","India"
"Lasya Priya","Female","hindu","","India"
"Laya Karee","Female","hindu","","India"
"Leela Kluptha Brahmanda Mandala","Female","hindu","","India"
"Leela Vigraha Dharini","Female","hindu","","India"
"Leela Vinodhini","Female","hindu","","India"
"Lobha Nasini","Female","hindu","","India"
"Loka Theetha","Female","hindu","","India"
"Suchismita","Female","hindu","","India"
"Suchita","Female","hindu","","India"
"Suchitra","Female","hindu","","India"
"Sudakshima","Female","hindu","","India"
"Sudarshini","Female","hindu","","India"
"Sudeepa","Female","hindu","","India"
"Sudeepta","Female","hindu","","India"
"Sudena","Female","hindu","","India"
"Sudeshna","Female","hindu","","India"
"Sudevi","Female","hindu","","India"
"Sudhamayi","Female","hindu","","India"
"Sudhira","Female","hindu","","India"
"Sudiksha","Female","hindu","","India"
"Sudipta","Female","hindu","","India"
"Sudipti","Female","hindu","","India"
"Suditi","Female","hindu","","India"
"Sugandha","Female","hindu","","India"
"Suganya","Female","hindu","","India"
"Sugathri","Female","hindu","","India"
"Sugauri","Female","hindu","","India"
"Sugita","Female","hindu","","India"
"Suhag","Female","hindu","","India"
"Suhaila","Female","hindu","","India"
"Suhas","Female","hindu","","India"
"Suhasini","Female","hindu","","India"
"Gandhamadhana","Male","hindu","","India"
"Gandharvavidya","Male","hindu","","India"
"Hanumanta","Male","hindu","","India"
"Harimarkatamarkata","Male","hindu","","India"
"Indrajit","Male","hindu","","India"
"Jaikapeesh","Male","hindu","","India"
"Jambavatpreeti","Male","hindu","","India"
"Kabalikruta","Male","hindu","","India"
"Kalanabha","Male","hindu","","India"
"Kalanemi","Male","hindu","","India"
"Kamaroopine","Male","hindu","","India"
"Kanchanabha","Male","hindu","","India"
"Kapeeshwara","Male","hindu","","India"
"Kapisenanayaka","Male","hindu","","India"
"Karagrahavimoktre","Male","hindu","","India"
"Kesarinandan","Male","hindu","","India"
"Kesarisuta","Male","hindu","","India"
"Kumarabrahmacharine","Male","hindu","","India"
"Lakshmanapranadatre","Male","hindu","","India"
"Lankapuravidahaka","Male","hindu","","India"
"Lankineebhanjana","Male","hindu","","India"
"Lokapujya","Male","hindu","","India"
"Mahadhyuta","Male","hindu","","India"
"Maharavanamardana","Male","hindu","","India"
"Mahatapase","Male","hindu","","India"
"Srinika","Female","hindu","","India"
"Srinithi","Female","hindu","","India"
"Sripada","Female","hindu","","India"
"Srisha","Female","hindu","","India"
"Sristi","Female","hindu","","India"
"Srutakirti","Female","hindu","","India"
"Stavita","Female","hindu","","India"
"Striratna","Female","hindu","","India"
"Stuti","Female","hindu","","India"
"Subarna","Female","hindu","","India"
"Subhadra","Female","hindu","","India"
"Subhagya","Female","hindu","","India"
"Subhashini","Female","hindu","","India"
"Subhasini","Female","hindu","","India"
"Subhi","Female","hindu","","India"
"Subhiksha","Female","hindu","","India"
"Subhuja","Female","hindu","","India"
"Subiksha","Female","hindu","","India"
"Subodhini","Female","hindu","","India"
"Subrata","Female","hindu","","India"
"Suchandra","Female","hindu","","India"
"Sucharita","Female","hindu","","India"
"Sucheta","Female","hindu","","India"
"Suchhaya","Female","hindu","","India"
"Suchi","Female","hindu","","India"
"Rudraveerya","Male","hindu","","India"
"Sagarotharaka","Male","hindu","","India"
"Sanjeevananagahatre","Male","hindu","","India"
"Sankatamochanan","Male","hindu","","India"
"Sarvabandha","Male","hindu","","India"
